date,open,high,low,close,volume,symbol
2026-05-13 09:30:00,23515.0,23535.0,23406.8,23461.0,62140,NIFTY26JUNFUT
2026-05-13 09:45:00,23461.0,23530.0,23429.2,23515.0,46150,NIFTY26JUNFUT
2026-05-13 10:00:00,23520.4,23574.0,23494.9,23541.1,44395,NIFTY26JUNFUT
2026-05-13 10:15:00,23541.1,23617.0,23541.1,23600.0,45760,NIFTY26JUNFUT
2026-05-13 10:30:00,23600.0,23624.8,23569.1,23609.0,16965,NIFTY26JUNFUT
2026-05-13 10:45:00,23609.0,23615.0,23515.0,23515.0,22815,NIFTY26JUNFUT
2026-05-13 11:00:00,23520.2,23552.2,23511.0,23535.0,12870,NIFTY26JUNFUT
2026-05-13 11:15:00,23535.0,23568.2,23535.0,23545.0,27625,NIFTY26JUNFUT
2026-05-13 11:30:00,23545.0,23640.0,23540.3,23636.0,33150,NIFTY26JUNFUT
2026-05-13 11:45:00,23636.0,23650.0,23597.5,23611.2,38220,NIFTY26JUNFUT
2026-05-13 12:00:00,23611.2,23650.0,23603.5,23650.0,33930,NIFTY26JUNFUT
2026-05-13 12:15:00,23650.0,23650.0,23611.0,23644.3,22555,NIFTY26JUNFUT
2026-05-13 12:30:00,23644.3,23644.3,23560.0,23598.9,36205,NIFTY26JUNFUT
2026-05-13 12:45:00,23598.9,23726.4,23592.0,23716.3,59995,NIFTY26JUNFUT
2026-05-13 13:00:00,23719.0,23720.0,23658.0,23675.4,14820,NIFTY26JUNFUT
2026-05-13 13:15:00,23675.4,23675.4,23625.9,23626.8,10335,NIFTY26JUNFUT
2026-05-13 13:30:00,23626.8,23675.4,23625.9,23650.1,7345,NIFTY26JUNFUT
2026-05-13 13:45:00,23650.1,23665.4,23605.0,23632.7,7410,NIFTY26JUNFUT
2026-05-13 14:00:00,23632.7,23658.0,23612.9,23658.0,5460,NIFTY26JUNFUT
2026-05-13 14:15:00,23658.0,23660.3,23591.0,23611.3,10465,NIFTY26JUNFUT
2026-05-13 14:30:00,23611.3,23630.0,23600.0,23601.0,8385,NIFTY26JUNFUT
2026-05-13 14:45:00,23601.0,23612.0,23581.0,23605.0,8580,NIFTY26JUNFUT
2026-05-13 15:00:00,23605.0,23605.0,23540.2,23575.0,126620,NIFTY26JUNFUT
2026-05-13 15:15:00,23575.0,23588.7,23542.9,23580.0,166530,NIFTY26JUNFUT
2026-05-14 09:15:00,23625.0,23704.9,23625.0,23703.9,50310,NIFTY26JUNFUT
2026-05-14 09:30:00,23703.9,23703.9,23618.0,23618.0,19435,NIFTY26JUNFUT
2026-05-14 09:45:00,23618.0,23649.9,23560.0,23570.2,30095,NIFTY26JUNFUT
2026-05-14 10:00:00,23570.2,23610.0,23569.3,23609.0,18850,NIFTY26JUNFUT
2026-05-14 10:15:00,23609.0,23632.0,23585.1,23625.0,11050,NIFTY26JUNFUT
2026-05-14 10:30:00,23625.0,23648.9,23600.8,23609.3,9100,NIFTY26JUNFUT
2026-05-14 10:45:00,23609.3,23609.3,23535.0,23547.1,25025,NIFTY26JUNFUT
2026-05-14 11:00:00,23547.1,23565.0,23535.0,23560.9,10985,NIFTY26JUNFUT
2026-05-14 11:15:00,23560.9,23696.0,23560.9,23688.3,32500,NIFTY26JUNFUT
2026-05-14 11:30:00,23688.3,23785.1,23685.6,23776.2,67795,NIFTY26JUNFUT
2026-05-14 11:45:00,23780.0,23815.8,23757.4,23785.4,45110,NIFTY26JUNFUT
2026-05-14 12:00:00,23785.4,23794.1,23742.0,23775.0,35880,NIFTY26JUNFUT
2026-05-14 12:15:00,23775.0,23819.8,23775.0,23808.0,24895,NIFTY26JUNFUT
2026-05-14 12:30:00,23808.0,23810.0,23779.2,23810.0,31070,NIFTY26JUNFUT
2026-05-14 12:45:00,23808.0,23828.6,23780.1,23806.0,29445,NIFTY26JUNFUT
2026-05-14 13:00:00,23806.0,23865.0,23803.0,23842.6,32500,NIFTY26JUNFUT
2026-05-14 13:15:00,23842.6,23842.6,23816.1,23821.0,8385,NIFTY26JUNFUT
2026-05-14 13:30:00,23821.0,23865.0,23815.0,23855.0,19825,NIFTY26JUNFUT
2026-05-14 13:45:00,23855.0,23870.0,23829.9,23859.7,24310,NIFTY26JUNFUT
2026-05-14 14:00:00,23859.7,23878.0,23841.9,23847.7,19760,NIFTY26JUNFUT
2026-05-14 14:15:00,23847.7,23864.0,23825.1,23864.0,17615,NIFTY26JUNFUT
2026-05-14 14:30:00,23864.0,23880.0,23821.0,23831.8,22230,NIFTY26JUNFUT
2026-05-14 14:45:00,23831.8,23832.5,23785.0,23818.3,30615,NIFTY26JUNFUT
2026-05-14 15:00:00,23818.3,23818.3,23765.5,23775.4,37830,NIFTY26JUNFUT
2026-05-14 15:15:00,23775.4,23839.2,23775.4,23826.4,32890,NIFTY26JUNFUT
2026-05-15 09:15:00,23799.8,23887.9,23780.0,23880.4,46930,NIFTY26JUNFUT
2026-05-15 09:30:00,23880.4,23900.0,23830.0,23900.0,22555,NIFTY26JUNFUT
2026-05-15 09:45:00,23900.0,23935.0,23889.3,23915.0,31590,NIFTY26JUNFUT
2026-05-15 10:00:00,23915.0,23923.9,23875.0,23890.0,24375,NIFTY26JUNFUT
2026-05-15 10:15:00,23890.0,23917.0,23869.0,23906.6,11960,NIFTY26JUNFUT
2026-05-15 10:30:00,23906.6,23915.9,23880.1,23896.0,25545,NIFTY26JUNFUT
2026-05-15 10:45:00,23896.0,23934.8,23893.5,23915.0,43420,NIFTY26JUNFUT
2026-05-15 11:00:00,23915.0,23915.0,23812.0,23833.3,145015,NIFTY26JUNFUT
2026-05-15 11:15:00,23825.0,23830.0,23793.0,23796.8,110630,NIFTY26JUNFUT
2026-05-15 11:30:00,23796.8,23825.0,23756.3,23820.0,32500,NIFTY26JUNFUT
2026-05-15 11:45:00,23820.0,23827.0,23800.0,23801.3,7150,NIFTY26JUNFUT
2026-05-15 12:00:00,23801.3,23868.0,23801.3,23840.0,10075,NIFTY26JUNFUT
2026-05-15 12:15:00,23840.0,23849.9,23802.5,23802.5,12870,NIFTY26JUNFUT
2026-05-15 12:30:00,23802.5,23860.0,23802.5,23857.0,5135,NIFTY26JUNFUT
2026-05-15 12:45:00,23857.0,23893.0,23853.3,23877.5,18785,NIFTY26JUNFUT
2026-05-15 13:00:00,23877.5,23892.4,23869.0,23877.7,30680,NIFTY26JUNFUT
2026-05-15 13:15:00,23877.7,23894.5,23861.7,23875.0,19825,NIFTY26JUNFUT
2026-05-15 13:30:00,23875.0,23883.1,23830.0,23835.0,23920,NIFTY26JUNFUT
2026-05-15 13:45:00,23835.0,23847.4,23791.6,23805.0,19890,NIFTY26JUNFUT
2026-05-15 14:00:00,23805.0,23816.2,23785.0,23810.0,18590,NIFTY26JUNFUT
2026-05-15 14:15:00,23810.0,23820.0,23780.0,23782.6,11375,NIFTY26JUNFUT
2026-05-15 14:30:00,23789.9,23800.0,23770.0,23776.0,56030,NIFTY26JUNFUT
2026-05-15 14:45:00,23776.0,23776.0,23690.1,23738.0,86125,NIFTY26JUNFUT
2026-05-15 15:00:00,23738.0,23777.3,23718.2,23740.2,56030,NIFTY26JUNFUT
2026-05-15 15:15:00,23740.2,23771.0,23701.1,23750.0,100360,NIFTY26JUNFUT
2026-05-18 09:15:00,23635.0,23635.0,23480.6,23491.2,149565,NIFTY26JUNFUT
2026-05-18 09:30:00,23491.2,23520.0,23475.0,23494.6,56550,NIFTY26JUNFUT
2026-05-18 09:45:00,23494.6,23494.6,23440.0,23461.9,60645,NIFTY26JUNFUT
2026-05-18 10:00:00,23461.9,23486.9,23458.0,23475.1,24505,NIFTY26JUNFUT
2026-05-18 10:15:00,23475.1,23505.0,23464.8,23485.6,22880,NIFTY26JUNFUT
2026-05-18 10:30:00,23485.6,23545.0,23460.0,23510.0,47840,NIFTY26JUNFUT
2026-05-18 10:45:00,23510.0,23555.0,23485.0,23552.0,40235,NIFTY26JUNFUT
2026-05-18 11:00:00,23552.0,23570.0,23540.1,23547.5,20735,NIFTY26JUNFUT
2026-05-18 11:15:00,23547.5,23608.6,23544.2,23571.8,31525,NIFTY26JUNFUT
2026-05-18 11:30:00,23571.8,23650.0,23571.8,23612.2,37505,NIFTY26JUNFUT
2026-05-18 11:45:00,23612.2,23625.0,23560.0,23560.0,16380,NIFTY26JUNFUT
2026-05-18 12:00:00,23560.0,23609.9,23555.0,23605.0,18330,NIFTY26JUNFUT
2026-05-18 12:15:00,23605.0,23645.0,23600.1,23638.0,19500,NIFTY26JUNFUT
2026-05-18 12:30:00,23638.0,23688.0,23638.0,23655.0,55640,NIFTY26JUNFUT
2026-05-18 12:45:00,23655.0,23736.7,23651.0,23720.0,30420,NIFTY26JUNFUT
2026-05-18 13:00:00,23720.0,23750.0,23671.0,23690.0,68900,NIFTY26JUNFUT
2026-05-18 13:15:00,23690.0,23715.0,23680.1,23700.0,13520,NIFTY26JUNFUT
2026-05-18 13:30:00,23698.0,23715.0,23680.0,23696.6,9555,NIFTY26JUNFUT
