tf,date,open,high,low,close,volume
15m,2026-05-05 15:15:00+05:30,124.9,124.9,114.95,114.95,4485
15m,2026-05-06 09:15:00+05:30,76.9,86.0,75.45,85.45,15925
15m,2026-05-06 09:30:00+05:30,85.45,93.7,83.7,91.45,4030
15m,2026-05-06 09:45:00+05:30,91.45,98.95,85.6,87.8,6890
15m,2026-05-06 10:00:00+05:30,87.8,99.2,86.0,86.0,9035
15m,2026-05-06 10:15:00+05:30,86.0,90.85,84.0,89.6,2405
15m,2026-05-06 10:30:00+05:30,89.6,92.7,82.8,82.8,1885
15m,2026-05-06 10:45:00+05:30,82.8,98.25,82.8,98.25,780
15m,2026-05-06 11:00:00+05:30,98.25,105.0,94.9,99.65,2730
15m,2026-05-06 11:15:00+05:30,99.65,100.3,94.1,97.7,6045
15m,2026-05-06 11:30:00+05:30,97.7,103.05,91.15,99.0,2860
15m,2026-05-06 11:45:00+05:30,99.0,99.0,89.25,91.65,4485
15m,2026-05-06 12:00:00+05:30,91.65,100.0,91.65,100.0,1365
15m,2026-05-06 12:15:00+05:30,100.0,121.6,100.0,112.8,12480
15m,2026-05-06 12:30:00+05:30,112.8,124.8,112.8,123.0,4615
15m,2026-05-06 12:45:00+05:30,123.0,130.3,122.15,127.0,4095
15m,2026-05-06 13:00:00+05:30,127.0,131.5,116.9,116.9,1300
15m,2026-05-06 13:15:00+05:30,116.9,119.25,100.5,101.0,3835
15m,2026-05-06 13:30:00+05:30,101.0,101.0,90.0,94.5,6695
15m,2026-05-06 13:45:00+05:30,94.5,94.6,87.3,91.65,7345
15m,2026-05-06 14:00:00+05:30,91.65,93.0,81.7,81.7,4745
15m,2026-05-06 14:15:00+05:30,81.7,81.7,52.75,52.75,30680
15m,2026-05-06 14:30:00+05:30,52.7,58.2,51.9,55.85,12675
15m,2026-05-06 14:45:00+05:30,55.85,55.85,49.9,50.9,26845
15m,2026-05-06 15:00:00+05:30,50.9,53.1,48.3,51.0,8710
15m,2026-05-06 15:15:00+05:30,51.0,52.1,46.9,46.9,12090
15m,2026-05-07 09:15:00+05:30,42.55,57.1,41.4,53.55,18590
15m,2026-05-07 09:30:00+05:30,53.55,53.8,45.95,46.45,6890
15m,2026-05-07 09:45:00+05:30,46.45,53.8,46.4,51.0,5460
15m,2026-05-07 10:00:00+05:30,51.0,56.5,47.85,54.5,6370
15m,2026-05-07 10:15:00+05:30,54.5,54.7,48.85,50.7,6175
15m,2026-05-07 10:30:00+05:30,49.85,50.8,48.6,49.25,5590
15m,2026-05-07 10:45:00+05:30,49.25,53.7,48.05,52.05,6175
15m,2026-05-07 11:00:00+05:30,52.05,56.8,51.8,56.05,6825
15m,2026-05-07 11:15:00+05:30,56.05,61.95,54.15,59.75,13910
15m,2026-05-07 11:30:00+05:30,59.75,62.15,51.3,62.15,4745
15m,2026-05-07 11:45:00+05:30,62.15,64.0,52.3,52.3,2275
15m,2026-05-07 12:00:00+05:30,52.3,52.3,49.0,49.0,3705
15m,2026-05-07 12:15:00+05:30,49.0,50.8,47.3,50.8,7410
15m,2026-05-07 12:30:00+05:30,50.8,54.0,38.9,40.35,20410
15m,2026-05-07 12:45:00+05:30,40.35,48.4,40.0,46.45,14690
15m,2026-05-07 13:00:00+05:30,46.15,47.9,44.45,46.5,5135
15m,2026-05-07 13:15:00+05:30,46.5,53.8,45.35,50.0,3640
15m,2026-05-07 13:30:00+05:30,50.0,51.95,48.35,48.35,1495
