tf,date,open,high,low,close,volume
5m,2026-05-15 13:20:00+05:30,431.45,431.45,420.05,421.35,16900
5m,2026-05-15 13:25:00+05:30,421.35,429.8,407.0,423.75,32240
5m,2026-05-15 13:30:00+05:30,423.0,423.0,401.75,406.45,24245
5m,2026-05-15 13:35:00+05:30,406.45,416.2,382.35,390.4,51545
5m,2026-05-15 13:40:00+05:30,390.4,393.1,379.95,386.0,45305
5m,2026-05-15 13:45:00+05:30,386.0,394.0,349.15,355.0,70980
5m,2026-05-15 13:50:00+05:30,355.0,372.25,345.0,365.1,58045
5m,2026-05-15 13:55:00+05:30,365.1,372.4,349.0,358.6,36595
5m,2026-05-15 14:00:00+05:30,357.25,360.0,346.6,346.6,43225
5m,2026-05-15 14:05:00+05:30,346.6,362.0,345.25,359.95,50830
5m,2026-05-15 14:10:00+05:30,359.95,369.95,348.45,368.95,59215
5m,2026-05-15 14:15:00+05:30,368.95,377.15,351.7,366.8,59605
5m,2026-05-15 14:20:00+05:30,366.8,367.2,356.85,360.3,18850
5m,2026-05-15 14:25:00+05:30,360.3,360.6,341.0,350.75,44980
5m,2026-05-15 14:30:00+05:30,350.75,357.0,332.85,347.5,83265
5m,2026-05-15 14:35:00+05:30,347.5,349.75,336.0,341.15,135005
5m,2026-05-15 14:40:00+05:30,341.15,350.35,333.35,335.3,38350
5m,2026-05-15 14:45:00+05:30,335.3,335.3,284.55,284.55,175370
5m,2026-05-15 14:50:00+05:30,286.3,293.8,272.45,277.0,401310
5m,2026-05-15 14:55:00+05:30,277.0,302.0,271.2,295.85,210015
5m,2026-05-15 15:00:00+05:30,293.7,326.65,290.7,326.55,252265
5m,2026-05-15 15:05:00+05:30,328.35,331.85,297.0,302.4,132860
5m,2026-05-15 15:10:00+05:30,302.4,307.6,293.9,300.8,90935
5m,2026-05-15 15:15:00+05:30,300.1,300.15,276.0,294.4,209560
5m,2026-05-15 15:20:00+05:30,294.4,303.2,291.3,302.35,177775
5m,2026-05-15 15:25:00+05:30,302.35,330.75,298.7,321.85,157625
5m,2026-05-18 09:15:00+05:30,201.35,201.4,135.25,139.5,9760400
5m,2026-05-18 09:20:00+05:30,139.5,142.55,129.25,137.5,8399755
5m,2026-05-18 09:25:00+05:30,137.5,139.3,121.15,126.95,7284225
5m,2026-05-18 09:30:00+05:30,126.95,134.65,119.5,131.5,8593780
5m,2026-05-18 09:35:00+05:30,131.5,135.9,112.0,117.3,8205340
5m,2026-05-18 09:40:00+05:30,117.3,124.75,110.1,118.0,7631910
5m,2026-05-18 09:45:00+05:30,118.0,120.0,106.0,107.7,6363240
5m,2026-05-18 09:50:00+05:30,107.15,109.25,97.6,99.7,7026760
5m,2026-05-18 09:55:00+05:30,99.9,104.75,94.0,103.95,6057220
5m,2026-05-18 10:00:00+05:30,103.95,113.35,102.7,111.75,7615075
