tf,date,open,high,low,close,volume,vwap
5m,2026-06-04 09:20:00+05:30,443.85,457.0,418.95,437.5,129285,425.28230196854105
5m,2026-06-04 09:25:00+05:30,437.5,455.0,428.45,436.0,75465,427.33041428976014
5m,2026-06-04 09:30:00+05:30,436.0,440.4,413.6,431.1,92170,427.4825739532636
5m,2026-06-04 09:35:00+05:30,431.1,462.0,420.1,422.6,102700,428.5255154104002
5m,2026-06-04 09:40:00+05:30,422.6,453.0,406.85,451.55,106275,429.61887948000833
5m,2026-06-04 09:45:00+05:30,451.55,475.0,442.45,471.45,129155,434.0782679408664
5m,2026-06-04 09:50:00+05:30,471.45,475.85,454.95,472.55,50050,435.73882845991426
5m,2026-06-04 09:55:00+05:30,472.55,522.2,467.55,494.0,145470,443.109623887614
5m,2026-06-04 10:00:00+05:30,494.0,505.55,479.45,498.05,65585,445.8486331849968
5m,2026-06-04 10:05:00+05:30,498.05,517.0,498.05,508.1,42055,447.89896446925843
5m,2026-06-04 10:10:00+05:30,508.1,520.15,502.5,508.6,26715,449.18795692451755
5m,2026-06-04 10:15:00+05:30,508.6,527.0,495.95,519.0,47710,451.4890894135862
5m,2026-06-04 10:20:00+05:30,519.0,522.35,508.0,519.9,21580,452.5208333333333
5m,2026-06-04 10:25:00+05:30,519.9,525.65,498.3,500.0,36985,453.9839592316133
5m,2026-06-04 10:30:00+05:30,500.0,504.9,471.1,471.55,62400,455.19978768106296
5m,2026-06-04 10:35:00+05:30,471.55,484.6,457.6,469.75,58955,455.79772856573936
5m,2026-06-04 10:40:00+05:30,469.75,493.85,469.05,492.95,62530,456.96033008170076
5m,2026-06-04 10:45:00+05:30,492.95,528.05,488.85,499.2,82355,459.3499980518216
5m,2026-06-04 10:50:00+05:30,499.2,504.05,484.35,494.25,40625,460.17889374920765
5m,2026-06-04 10:55:00+05:30,494.25,507.5,494.25,498.2,15925,460.5464116575593
5m,2026-06-04 11:00:00+05:30,498.2,503.4,461.25,474.25,47450,461.05744972186574
5m,2026-06-04 11:05:00+05:30,473.95,478.4,454.1,465.0,40040,461.1629676123526
5m,2026-06-04 11:10:00+05:30,465.0,482.0,459.9,479.0,31655,461.37704925737927
5m,2026-06-04 11:15:00+05:30,479.0,479.1,460.65,461.1,26260,461.4553014504843
5m,2026-06-04 11:20:00+05:30,461.1,471.6,458.55,465.3,18785,461.49204374706085
5m,2026-06-04 11:25:00+05:30,465.3,480.0,452.3,467.0,62985,461.651487956488
5m,2026-06-04 11:30:00+05:30,467.0,482.0,437.15,480.8,72410,461.83028138111143
5m,2026-06-04 11:35:00+05:30,480.8,521.8,474.95,519.75,79560,463.4816572952711
5m,2026-06-04 11:40:00+05:30,519.75,535.4,510.95,513.65,54795,464.9162712153604
5m,2026-06-04 11:45:00+05:30,513.65,522.7,502.7,512.55,27170,465.50958944165257
5m,2026-06-04 11:50:00+05:30,512.55,514.3,475.75,479.95,46735,466.0222424401227
5m,2026-06-04 11:55:00+05:30,479.95,499.95,475.0,496.65,37310,466.42512217704217
5m,2026-06-04 12:00:00+05:30,496.65,512.55,485.8,498.0,31980,466.87466868093594
5m,2026-06-04 12:05:00+05:30,498.0,510.9,496.4,506.45,11245,467.0579827839754
5m,2026-06-04 12:10:00+05:30,506.45,519.0,502.65,513.95,19370,467.43008778040956
5m,2026-06-04 12:15:00+05:30,513.95,517.0,495.95,496.4,20150,467.7357332964957
5m,2026-06-04 12:20:00+05:30,498.75,506.15,491.9,500.35,12220,467.89969491245904
5m,2026-06-04 12:25:00+05:30,500.35,505.6,488.45,497.8,19175,468.13602659178065
5m,2026-06-04 12:30:00+05:30,497.8,497.8,467.1,468.9,43030,468.30972281735393
5m,2026-06-04 12:35:00+05:30,468.9,474.9,450.8,474.9,51545,468.27971354644694
5m,2026-06-04 12:40:00+05:30,474.9,475.45,455.0,455.35,26845,468.2117154395612
5m,2026-06-04 12:45:00+05:30,455.35,469.2,447.75,464.9,29835,468.1223390163653
5m,2026-06-04 12:50:00+05:30,464.9,471.0,453.15,470.9,24895,468.09214016113185
5m,2026-06-04 12:55:00+05:30,470.9,479.25,461.1,477.6,33800,468.15152893321294
5m,2026-06-04 13:00:00+05:30,477.6,481.4,464.6,471.55,24115,468.1917351473472
5m,2026-06-04 13:05:00+05:30,471.55,474.4,448.2,472.0,29510,468.1546747518391
5m,2026-06-04 13:10:00+05:30,472.0,472.0,402.85,402.85,82810,466.8731632029581
5m,2026-06-04 13:15:00+05:30,402.85,415.0,384.55,410.85,114725,464.31644963294633
5m,2026-06-04 13:20:00+05:30,410.85,428.0,403.2,424.0,47710,463.55918827424006
5m,2026-06-04 13:25:00+05:30,424.0,434.0,417.0,424.9,40690,463.02851709060815
5m,2026-06-04 13:30:00+05:30,425.0,432.95,413.1,432.95,32305,462.62882596594255
5m,2026-06-04 13:35:00+05:30,432.95,440.0,428.25,437.2,47320,462.1972927497464
5m,2026-06-04 13:40:00+05:30,437.2,437.2,413.25,425.3,26000,461.88121350813765
5m,2026-06-04 13:45:00+05:30,425.3,435.0,421.0,427.5,13065,461.73547425358817
5m,2026-06-04 13:50:00+05:30,427.5,433.0,411.7,428.7,29835,461.374709492376
5m,2026-06-04 13:55:00+05:30,428.7,439.25,410.4,433.0,34515,461.0001178359888
5m,2026-06-04 14:00:00+05:30,432.95,478.3,432.3,469.35,126685,460.96040176096074
5m,2026-06-04 14:05:00+05:30,469.35,478.5,460.0,478.2,50245,461.1323768173145
5m,2026-06-04 14:10:00+05:30,478.2,492.0,471.05,473.15,39520,461.3410702445491
5m,2026-06-04 14:15:00+05:30,473.15,492.0,473.15,478.0,33865,461.539304812834
5m,2026-06-04 14:20:00+05:30,478.0,480.0,462.8,476.3,25350,461.6251978386248
5m,2026-06-04 14:25:00+05:30,476.3,493.8,473.7,483.7,21385,461.76369466976377
5m,2026-06-04 14:30:00+05:30,483.7,512.1,478.5,493.65,55705,462.2933295862605
5m,2026-06-04 14:35:00+05:30,493.65,526.2,492.5,519.9,48880,462.9959576551442
5m,2026-06-04 14:40:00+05:30,519.9,521.9,495.55,497.6,35490,463.4156036800613
5m,2026-06-04 14:45:00+05:30,497.6,532.9,494.3,504.0,96070,464.6523214190306
5m,2026-06-04 14:50:00+05:30,504.0,511.7,472.85,476.5,38220,464.8840885457972
5m,2026-06-04 14:55:00+05:30,476.5,494.0,475.0,490.25,24505,465.0262165301023
5m,2026-06-04 15:00:00+05:30,490.25,498.0,463.5,479.9,65455,465.2937273827342
5m,2026-06-04 15:05:00+05:30,479.9,490.85,476.0,488.0,90155,465.7518562706546
5m,2026-06-04 15:10:00+05:30,488.0,508.95,485.6,505.5,38350,466.0882329450914
5m,2026-06-04 15:15:00+05:30,505.5,518.0,497.65,516.55,35555,466.49090529347416
5m,2026-06-04 15:20:00+05:30,516.55,526.0,506.9,526.0,37700,466.99432058841137
5m,2026-06-04 15:25:00+05:30,526.0,539.0,523.3,533.75,43420,467.6960723806446
5m,2026-06-05 09:15:00+05:30,529.95,561.95,515.0,522.0,100165,532.9833333333333
5m,2026-06-05 09:20:00+05:30,522.0,533.0,507.3,514.7,49465,528.140305531422
5m,2026-06-05 09:25:00+05:30,514.7,524.35,504.0,521.2,46280,525.3944426011944
5m,2026-06-05 09:30:00+05:30,521.2,541.0,515.25,522.9,63115,525.635399414471
5m,2026-06-05 09:35:00+05:30,522.9,549.2,514.65,526.6,59475,526.4784319727892
5m,2026-06-05 09:40:00+05:30,526.6,547.2,514.6,539.45,46475,527.404375185515
5m,2026-06-05 09:45:00+05:30,539.45,541.85,511.25,513.9,36855,526.9392699234337
5m,2026-06-05 09:50:00+05:30,513.9,527.2,507.2,519.1,34970,526.2102529761905
5m,2026-06-05 09:55:00+05:30,519.1,524.75,503.8,507.45,29575,525.3091149825784
5m,2026-06-05 10:00:00+05:30,507.45,553.2,491.0,529.65,142935,525.1466769788777
5m,2026-06-05 10:05:00+05:30,529.65,554.4,498.8,547.05,111735,526.4282159920671
5m,2026-06-05 10:10:00+05:30,547.05,577.3,530.5,534.4,73580,528.3701431492842
5m,2026-06-05 10:15:00+05:30,534.4,549.15,516.2,538.4,52000,528.7517594369801
5m,2026-06-05 10:20:00+05:30,538.4,554.35,521.1,549.4,64090,529.6571051316822
5m,2026-06-05 10:25:00+05:30,549.4,555.0,517.1,526.85,90545,529.9578994633429
5m,2026-06-05 10:30:00+05:30,526.85,531.45,488.9,488.9,52520,528.6184811662142
5m,2026-06-05 10:35:00+05:30,489.0,495.8,435.0,439.95,216710,516.3881604079265
5m,2026-06-05 10:40:00+05:30,439.95,441.2,412.0,428.2,233350,502.5385395055325
5m,2026-06-05 10:45:00+05:30,428.2,436.5,401.0,431.45,187135,493.73440963546676
5m,2026-06-05 10:50:00+05:30,431.45,449.95,431.45,441.75,149760,489.4480690231529
5m,2026-06-05 10:55:00+05:30,441.75,459.0,438.65,457.65,80145,487.87588544486556
5m,2026-06-05 11:00:00+05:30,457.65,513.3,457.3,510.65,184730,488.3912350023667
5m,2026-06-05 11:05:00+05:30,510.65,555.45,506.3,538.15,152230,491.41911177644715
5m,2026-06-05 11:10:00+05:30,538.15,547.8,512.35,515.85,52325,492.18726541177807
5m,2026-06-05 11:15:00+05:30,515.85,524.0,485.0,495.0,68835,492.4519016393444
5m,2026-06-05 11:20:00+05:30,495.0,495.0,457.5,474.5,132535,491.5661361146339
5m,2026-06-05 11:25:00+05:30,474.5,485.0,467.65,482.4,62205,491.24671389365943
5m,2026-06-05 11:30:00+05:30,482.4,503.45,480.0,491.95,86840,491.26477287533805
5m,2026-06-05 11:35:00+05:30,491.95,491.95,462.6,480.0,61750,490.9680495200803
5m,2026-06-05 11:40:00+05:30,480.0,504.85,472.55,483.45,83655,490.8482591674582
5m,2026-06-05 11:45:00+05:30,483.45,499.65,481.0,493.2,33150,490.853339133222
5m,2026-06-05 11:50:00+05:30,493.2,493.2,469.35,471.0,30680,490.71432583633447
5m,2026-06-05 11:55:00+05:30,471.0,477.4,457.0,460.8,49855,490.2763776956529
5m,2026-06-05 12:00:00+05:30,460.8,490.65,458.95,490.65,51025,490.1013007898826
5m,2026-06-05 12:05:00+05:30,491.65,501.0,484.0,485.95,34190,490.10375125282116
5m,2026-06-05 12:10:00+05:30,485.95,506.4,473.0,504.6,43290,490.1685535060597
5m,2026-06-05 12:15:00+05:30,504.6,511.35,490.25,495.0,41275,490.28476015148334
5m,2026-06-05 12:20:00+05:30,495.0,509.0,493.0,508.0,22880,490.38068550464345
5m,2026-06-05 12:25:00+05:30,508.0,517.3,492.6,495.6,55965,490.58298593302294
5m,2026-06-05 12:30:00+05:30,495.6,501.7,465.0,471.55,64480,490.3602657417648
5m,2026-06-05 12:35:00+05:30,471.55,479.0,441.0,464.05,91390,489.56269757467925
5m,2026-06-05 12:40:00+05:30,464.05,464.1,427.7,442.1,108095,488.1476999848498
5m,2026-06-05 12:45:00+05:30,441.9,450.8,431.05,439.85,73320,487.1525318920123
5m,2026-06-05 12:50:00+05:30,439.85,443.3,418.35,432.2,124930,485.23000889223107
5m,2026-06-05 12:55:00+05:30,432.2,440.0,427.15,433.4,34190,484.74754670687014
